candidate_pool_key	audit_case_key	audit_split_code	concept_key	concept_type_code	retrieved_by_baselines_json	baseline_ranks_json	best_retrieval_tier_code	best_tier_order	best_candidate_rank	retrieval_status_codes_json	matched_expression_identity_sha256s_json	signal_ledger_by_baseline_json	signal_ledger_sha256
audit_candidate.round2b.sha256_43754e1e9ead52421430508ad2fb04168d876db9357604e7fb56e05f9df39263	audit_case.round2b.sha256_02bcdf9fa9f7e7289bd63ab68450972e418a68ffff398c3f09b6c6cb138c1bc5	development	sensory.almond	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""b78672c7dc676b6a75e165701677d46faaab52e8b38353c4e778ddd3836b50d2""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.6666667,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.6666667,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	32f6cf238abdfc45c6da70754a84ffebfd7bc4deb7502a8c6e470d923fedff9f
audit_candidate.round2b.sha256_0089622815e40ecd526f78dfb5858cf71b31c91bcaa4d3096d7ed84a573cba85	audit_case.round2b.sha256_02bcdf9fa9f7e7289bd63ab68450972e418a68ffff398c3f09b6c6cb138c1bc5	development	category.nut_seed	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.almond"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.almond"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	7acab61e5dcef71f0536f3a3f9f04553fd418372544277ca976e1b1956afaa2a
audit_candidate.round2b.sha256_4ac0e1dc301fce752f611ca0c99a1316636a3901bea952861ea4727da9de3d92	audit_case.round2b.sha256_02c6465dac7116aa21d77c32d3573d7df6e156994673215d9fcc01af886414a4	held_out	sensory.black_tea	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""837c404255ffb9e729dafd135234fef6b609127dd222396268e36a5b3ebe8e58""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	87b9cb59177b2e1bb7d0ea28d92794cafad9bba35340bcdf4afd60ca1295b768
audit_candidate.round2b.sha256_3dbc072aebf23a818d96f6f58210512e9a8b14c25e48b563ffcade3a2b6629e0	audit_case.round2b.sha256_02c6465dac7116aa21d77c32d3573d7df6e156994673215d9fcc01af886414a4	held_out	category.tea	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.black_tea"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.black_tea"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	f88c77c34977795f2275d0f413424c0b6ffdd63dadd5d3f53f7a3a01e856a33a
audit_candidate.round2b.sha256_f1c2f30d818db345fac8c6ab935ec87de311c96a6fe40b6901b2265d12037e3d	audit_case.round2b.sha256_02e97f9add06bd1288ffee6c51e0d3c298b431694dec486d599b25fd5d536ff6	held_out	sensory.pineapple	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""4d985dc93853a2523a47cee85d240f2f19a87ec40088591293f4a67f4811ba12""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	87b9cb59177b2e1bb7d0ea28d92794cafad9bba35340bcdf4afd60ca1295b768
audit_candidate.round2b.sha256_f4115fe1d601a3b0b9638677edfe81cb12c3a98f665e290edd8c7407fa6d8d27	audit_case.round2b.sha256_02e97f9add06bd1288ffee6c51e0d3c298b431694dec486d599b25fd5d536ff6	held_out	category.tropical_fruit	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.pineapple"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.pineapple"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	cd17080a457e1ab789940da0cef36bf22bde8fd9f8aea69501428c5f7ff6ae03
audit_candidate.round2b.sha256_96ac1aae2b02270a87b994fdad4c596e2067f4bef801c1203ab910f331503b9f	audit_case.round2b.sha256_03204cb91ae583ee2a7f5ed97c5454a89ea66dddaf9573d6c399915a3a3a3850	development	sensory.bergamot	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""6d565de246064ad060f41c6365014f7c0e7926811acc6f2a7582ef65927fd92a""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5833333,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5833333,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	6f36e57358384878fe9059e2dff7dd1df8fa9b745d6196b4838886f750817e2c
audit_candidate.round2b.sha256_32ce94ac876b250526560d2fce1511475f4621cd559d188543735b465c74422e	audit_case.round2b.sha256_03204cb91ae583ee2a7f5ed97c5454a89ea66dddaf9573d6c399915a3a3a3850	development	category.citrus	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.bergamot"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.bergamot"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	4c86a44b8c95d68b93eba5968c6e5393d040b111529a9e61e04e30f3ae93b97f
audit_candidate.round2b.sha256_b93047ce3e0f6cd7940ae2af8d07d7ed135e05735f79bb44f9e525fee4c345be	audit_case.round2b.sha256_0332ad33344c1340430bd53529f53b9198f2319244269595fa6c3bb91462b4a4	development	sensory.vanilla	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""3d81114d9cd1eceef91d81c2bd2dd2f93488f7962a51ce54255a3babd3e69893""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.47058824,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.47058824,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	f911e45cf057e96b4754d2608942447bbc524664a5341902b52dceb18c3a175b
audit_candidate.round2b.sha256_7c0547df3e62c8572024b752bf2d9130506f95c7376c57033b97155d3748d469	audit_case.round2b.sha256_0332ad33344c1340430bd53529f53b9198f2319244269595fa6c3bb91462b4a4	development	sensory.almond	sensory_attribute	"[""C"",""D""]"	"{""C"":2,""D"":2}"	C	3	2	"[""CANDIDATE""]"	"[""b78672c7dc676b6a75e165701677d46faaab52e8b38353c4e778ddd3836b50d2""]"	"[{""candidate_rank"":2,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.4117647,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":2,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.4117647,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	8bb1b4f34ccd7e88c285becfca8a8b80704aedbe5f17f3520d1b236fb36296c1
audit_candidate.round2b.sha256_86f47b4f289cb04e517f25a65a27e3e643771f91ffa70fe604d341e83f5a6e50	audit_case.round2b.sha256_0332ad33344c1340430bd53529f53b9198f2319244269595fa6c3bb91462b4a4	development	category.nut_seed	category	"[""D""]"	"{""D"":3}"	D	4	3	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":3,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.almond"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.almond"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	ab1593c88c4758cb62aeb2057a1b440d520fef514a202e47ecf6ef645e939c9d
audit_candidate.round2b.sha256_f1aa046049f4ea56e3884dee012990cc1606be0efadfb64d57f439e430daaf86	audit_case.round2b.sha256_0332ad33344c1340430bd53529f53b9198f2319244269595fa6c3bb91462b4a4	development	category.sweet_brown	category	"[""D""]"	"{""D"":4}"	D	4	4	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":4,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.vanilla"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.vanilla"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	6d3fdae661476badcd376a0d82792fc7adebd40057ddb371b3b5d4e14941c53f
audit_candidate.round2b.sha256_9db42948638a23ae4ba751d43a40acdbc3498f812b6666005d621a350f9ccf23	audit_case.round2b.sha256_03a95427e33c315c4d1d87d9acb41826c6f39cce0b20e61eefe2afd0fd87be37	held_out	sensory.peach	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""4040b88b1f3eb527a3ea0da4fd1b315e4e4cd5ce184bae302a9f21382800b396""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	87b9cb59177b2e1bb7d0ea28d92794cafad9bba35340bcdf4afd60ca1295b768
audit_candidate.round2b.sha256_a0919d4f83a4c5a5b0b693a2c2f5f074fc63530334311323862e04f5806980ab	audit_case.round2b.sha256_03a95427e33c315c4d1d87d9acb41826c6f39cce0b20e61eefe2afd0fd87be37	held_out	category.orchard_fruit	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.peach"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.peach"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	710e951e2fc0075bc3c9dc1947aa7a6d4f99ff86bab2a6335e9c8a79e3b60d8b
audit_candidate.round2b.sha256_d84c129efe10d20492240f88606915edb25d6988e8af35292460f4756656250a	audit_case.round2b.sha256_0436cd38a298a689f7eccb73a7eb37f5fa33d6305e73b83ef26065f9e2693934	development	sensory.bergamot	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""6d565de246064ad060f41c6365014f7c0e7926811acc6f2a7582ef65927fd92a""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.36,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.36,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	745d866bb6be1f56af8d0d56d2de97113fbe9b3ebcb2fe87182d8a70e2096374
audit_candidate.round2b.sha256_1af39880eab7a6e1d7d964f8c15e48f78086af4089e7c4fa147b3ebcc8d7d34a	audit_case.round2b.sha256_0436cd38a298a689f7eccb73a7eb37f5fa33d6305e73b83ef26065f9e2693934	development	category.citrus	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.bergamot"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.bergamot"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	4c86a44b8c95d68b93eba5968c6e5393d040b111529a9e61e04e30f3ae93b97f
audit_candidate.round2b.sha256_841c88ebced75b1a3040e763ebf70a3e4b01c8332c72b44db1d87d79e001287c	audit_case.round2b.sha256_04591b0ebe19825215c0acc66a6272facfdd2d77e3bdc918b43c3fc35d5628d2	held_out	sensory.peach	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""4040b88b1f3eb527a3ea0da4fd1b315e4e4cd5ce184bae302a9f21382800b396""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.46153846,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.46153846,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	5fcf32d179db9ed9a63f0ae96c67ee981434515e8268e10a9e1c99c2f962ef7b
audit_candidate.round2b.sha256_bef9cfa6d2c07d948208b7a38b7a3bfc21ef844ebaf74328c7f4a4fb0f845ef3	audit_case.round2b.sha256_04591b0ebe19825215c0acc66a6272facfdd2d77e3bdc918b43c3fc35d5628d2	held_out	category.orchard_fruit	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.peach"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.peach"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	710e951e2fc0075bc3c9dc1947aa7a6d4f99ff86bab2a6335e9c8a79e3b60d8b
