category_key	series_key	category_name	preparation_service	evidence_tier_candidate	core_eligibility	official_url	verification_status	note
iiac_g_instant	iiac_ict	G - Instant Coffee	Reconstituted instant coffee	EXCLUDED	EXCLUDED_NOT_FRESH_BREW	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Outside fresh-brew scope
iiac_h_rtd	iiac_ict	H - Ready-to-Drink Coffee	Packaged ready-to-drink	EXCLUDED	EXCLUDED_NOT_FRESH_BREW	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Outside fresh-brew scope
iiac_i_concentrated	iiac_ict	I - Concentrated Coffee	Coffee concentrate	EXCLUDED	EXCLUDED_NOT_FRESH_BREW	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Outside fresh-brew scope
gca_filter	global_coffee_awards	Filter	Fresh filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://globalcoffeeawards.com/categories/	VERIFIED	Black-coffee category
gca_espresso	global_coffee_awards	Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://globalcoffeeawards.com/categories/	VERIFIED	Black-coffee category
gca_flat_white_dairy	global_coffee_awards	Flat White - Dairy	Fresh espresso with dairy milk	AUXILIARY	AUXILIARY_ONLY	https://globalcoffeeawards.com/categories/	VERIFIED	Milk interaction only
gca_flat_white_plant	global_coffee_awards	Flat White - Plant-Based / Alternative Milk	Fresh espresso with plant-based milk	AUXILIARY	AUXILIARY_ONLY	https://globalcoffeeawards.com/categories/	VERIFIED	Alternative-milk interaction only
toh_washed	taste_of_harvest	Washed Arabica / Washed Coffee	Standardized competition cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://afca.coffee/toh-results-page/	VERIFIED	Official results filter; species labels vary by edition
toh_natural	taste_of_harvest	Natural Arabica / Natural Coffee	Standardized competition cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://afca.coffee/toh-results-page/	VERIFIED	Official results filter; species labels vary by edition
toh_honey	taste_of_harvest	Honey Arabica / Honey Coffee	Standardized competition cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://afca.coffee/toh-results-page/	VERIFIED	Official results filter
toh_robusta	taste_of_harvest	Robusta	Standardized competition cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://afca.coffee/toh-results-page/	VERIFIED	Official results filter; washed and natural variants appear in different editions
toh_experimental	taste_of_harvest	Experimental	Standardized competition cupping	P2_CORE_CANDIDATE	PENDING_EDITION_LINKAGE	https://afca.coffee/conference/conference/competitions/	VERIFIED	Official regional category; row-level processing and edition linkage required
scaj_jhdc_drip	scaj_jhdc	Drip Category	Fresh additive-free hand drip	P1_CORE_CANDIDATE	ELIGIBLE	https://scaj.org/activity/competitions/jhdc-2/2026-competition	VERIFIED	Preliminary and final sensory service
scaj_jhdc_free	scaj_jhdc	Free Category	Fresh hand-drip service	P2_CORE_CANDIDATE	PENDING_PROTOCOL_VERIFICATION	https://scaj.org/activity/competitions/jhdc-2/2026-competition	VERIFIED	Final-only category; inspect score sheet and additive rules before inclusion
scaj_jbrc_open	scaj_jbrc	Open Service	Fresh manual brew	P1_CORE_CANDIDATE	ELIGIBLE	https://scaj.org/activity/competitions/jbrc/2026-competition	VERIFIED	Competitor-selected coffee and method
scaj_jbrc_compulsory	scaj_jbrc	Compulsory Service	Fresh manual brew	P1_CORE_CANDIDATE	ELIGIBLE	https://scaj.org/activity/competitions/jbrc/2026-competition	VERIFIED	Common coffee and standardized conditions
scaj_jcrc_production	scaj_jcrc	Production Roast Cupping	Fresh competition cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://scaj.org/activity/competitions/jcrc/2026-competitor	VERIFIED	Uses current WCRC framework
scaj_jsc_prelim	scaj_jsc	Preliminary Common Coffee	Fresh siphon preparation	P1_CORE_CANDIDATE	ELIGIBLE	https://scaj.org/activity/competitions/jsc/jsc2026-competitor	VERIFIED	Common roasted coffee in preliminary round
scaj_jsc_blend	scaj_jsc	Final Blend Coffee	Fresh siphon preparation	P1_CORE_CANDIDATE	ELIGIBLE	https://scaj.org/activity/competitions/jsc/jsc2026-competitor	VERIFIED	Black-coffee blend service in final
scaj_jsc_signature	scaj_jsc	Signature Beverage	Fresh siphon coffee with additional ingredients	EXCLUDED	EXCLUDED_ADDITIVES	https://scaj.org/activity/competitions/jsc/jsc2026-competitor	VERIFIED	Excluded from black-coffee core
racs_espresso	royal_adelaide_coffee_show	Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://www.royaladelaidecoffeeshow.com.au/	VERIFIED	Official class
racs_piccolo	royal_adelaide_coffee_show	Piccolo	Fresh espresso with milk	AUXILIARY	AUXILIARY_ONLY	https://www.royaladelaidecoffeeshow.com.au/	VERIFIED	Milk interaction only
racs_latte	royal_adelaide_coffee_show	Latte	Fresh espresso with milk	AUXILIARY	AUXILIARY_ONLY	https://www.royaladelaidecoffeeshow.com.au/	VERIFIED	Milk interaction only
racs_plunger	royal_adelaide_coffee_show	Plunger	Fresh immersion brew	P1_CORE_CANDIDATE	ELIGIBLE	https://www.royaladelaidecoffeeshow.com.au/	VERIFIED	Core black-coffee preparation
aica_espresso	melbourne_royal_aica	Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	VERIFIED_ARCHIVE	Official 2022 class and criteria
aica_pour_over	melbourne_royal_aica	Pour Over	Fresh filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	VERIFIED_ARCHIVE	Official 2022 class and criteria
aica_immersion	melbourne_royal_aica	Immersion	Fresh immersion brew	P1_CORE_CANDIDATE	ELIGIBLE	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	VERIFIED_ARCHIVE	Official 2022 class and criteria
aica_dairy_milk	melbourne_royal_aica	Dairy Milk	Fresh coffee with dairy milk	AUXILIARY	AUXILIARY_ONLY	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	VERIFIED_ARCHIVE	Milk interaction only
aica_alt_milk	melbourne_royal_aica	Alternative Milk	Fresh coffee with alternative milk	AUXILIARY	AUXILIARY_ONLY	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	VERIFIED_ARCHIVE	Alternative-milk interaction only
aica_cold_brew	melbourne_royal_aica	Cold Brew	Cold extraction	PENDING	PENDING_FRESH_PREPARATION_CONFIRMATION	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	VERIFIED_ARCHIVE	Stored/extraction timing must be confirmed before core eligibility
avpa_espresso	avpa_coffees_roasted_at_origin	Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://www.avpa.fr/_files/ugd/58172f_807727a8b5864c0fb3413335776c590a.pdf	VERIFIED	Official preparation class
avpa_unfiltered	avpa_coffees_roasted_at_origin	Unfiltered Infusion	Fresh unfiltered infusion	P1_CORE_CANDIDATE	ELIGIBLE	https://www.avpa.fr/_files/ugd/58172f_807727a8b5864c0fb3413335776c590a.pdf	VERIFIED	Official preparation class; individual public results require class linkage
