section	state_key	required_value	phase_a_value	hard_gate	phase_a_pass	evidence_basis	note
CORE_POPULATION	SYNTHETIC_CORE_RECORD_COUNT	0	0	true	true	prohibition contract	No synthetic, project-authored, machine-generated, or LLM-generated descriptor is observed evidence.
CORE_POPULATION	INFERRED_PROFESSIONAL_DESCRIPTOR_COUNT	0	0	true	true	no-semantic-invention contract	Only explicit source fields, spans, scores, descriptors, and metadata may be extracted.
COUNTING	EFFECTIVE_RECORD_UNIT	series_x_edition_x_category_x_round_x_entry_or_lot_x_preparation_service	CONTRACT_FROZEN	true	true	PROFESSIONAL_RECORD_CONTRACT.tsv	Judge rows are observations and do not multiply effective coffee records.
COUNTING	DISTINCT_ENTRY_SERVICE_RATIO_AT_7000	>=0.60	NOT_EVALUATED	true	false	SCALE_GATE.tsv	Calculated before legitimate round multiplication.
COUNTING	DISTINCT_ENTRY_SERVICE_RATIO_AT_10000	>=0.65	NOT_EVALUATED	false	false	SCALE_GATE.tsv	Preferred anti-inflation target.
COUNTING	UNLINKED_REPEAT_COUNT	0	NOT_EVALUATED	true	false	future duplicate and repeat audit	Legitimate repeated rounds must retain entry, coffee, and repeat relationships.
RIGHTS	RIGHTS_DIMENSIONS	PUBLIC_RESULTS_USE|PUBLIC_DESCRIPTOR_USE|INTERNAL_RESEARCH_USE|PUBLIC_DERIVED_RELEASE|MODEL_RESEARCH_USE|COMMERCIAL_MODEL_USE	CONTRACT_FROZEN	true	true	PROFESSIONAL_RECORD_CONTRACT.tsv	Rights are independent decisions rather than one open/closed state.
RIGHTS	OBSERVED_CORE_REQUIRES_MODEL_RESEARCH_USE	false	false	true	true	Round 3K counting contract	Observed core may have model rights pending if lawfully acquired for internal research.
RIGHTS	MODEL_ELIGIBLE_CORE_REQUIRES_MODEL_RESEARCH_USE	true	true	true	true	Round 3K counting contract	Pending or unknown model rights never count toward 10,000.
RIGHTS	RIGHTS_DECISION_COMPLETENESS	1.0000	NOT_EVALUATED	true	false	future source and rights views	Every observed record must join to a source-specific rights decision.
RIGHTS	MODEL_RESEARCH_RIGHTS_RATE_AT_10000	1.0000	NOT_EVALUATED	true	false	future training readiness view	The denominator is the model-eligible candidate corpus.
SCALE	OBSERVED_CORE_PROFESSIONAL_RECORD_COUNT_MILESTONE	>=7000	0	true	false	SCALE_GATE.tsv	Research-grade acquisition milestone only; it does not authorize training.
SCALE	MODEL_ELIGIBLE_CORE_PROFESSIONAL_RECORD_COUNT_EXIT	>=10000	0	true	false	SCALE_GATE.tsv	Only a later separately authorized Round 4 may train.
SCALE	PROFESSIONAL_DESCRIPTOR_ASSERTION_COUNT_AT_7000	>=40000	0	true	false	SCALE_GATE.tsv	Only explicit professional descriptor text or source-defined descriptor identities with lineage count; numeric structured scores are reported separately.
SCALE	PROFESSIONAL_DESCRIPTOR_ASSERTION_COUNT_AT_10000	>=60000	0	true	false	SCALE_GATE.tsv	Record count alone is insufficient and numeric structured scores do not inflate this metric.
SCALE	LARGEST_SOURCE_FAMILY_SHARE_AT_7000	<=0.35	NOT_EVALUATED	true	false	SCALE_GATE.tsv	Independent source-family identity and mirror handling are mandatory.
SCALE	LARGEST_SOURCE_FAMILY_SHARE_AT_10000	<=0.30	NOT_EVALUATED	true	false	SCALE_GATE.tsv	No dominant organizer may pass the exit gate alone.
SCALE	GATE_12000_FORENSIC_AUDIT_TRIGGER	>=12000	NOT_TRIGGERED	true	true	SCALE_GATE.tsv	The trigger mandates audit; it is not automatic evidence of inflation.
PROHIBITION	ML_BASELINE_RUN	false	false	true	true	Round 3K execution boundary	No classical ML fitting.
PROHIBITION	RANKING_MODEL_TRAINED	false	false	true	true	Round 3K execution boundary	No learning-to-rank fitting or production ranking.
PROHIBITION	ADAPTIVE_POLICY_TRAINED	false	false	true	true	Round 3K execution boundary	No adaptive-policy fitting.
PROHIBITION	DEEP_LEARNING_MODEL_RUN	false	false	true	true	Round 3K execution boundary	No neural or transformer training.
PROHIBITION	EMBEDDING_BASELINE_RUN	false	false	true	true	Round 3K execution boundary	No embedding generation or benchmarking.
PROHIBITION	CROSS_ENCODER_RUN	false	false	true	true	Round 3K execution boundary	No cross-encoder training or evaluation.
PROHIBITION	PGVECTOR_REQUIRED	false	false	true	true	Round 3K execution boundary	PostgreSQL pg_trgm remains sufficient for this round.
PROHIBITION	MODEL_WEIGHT_FILE_COUNT	0	0	true	true	repository inventory	No model weight artifact may be created.
OPERATIONS	EXPERT_REVIEW_PERFORMED	false	false	true	true	available reviewer evidence	Codex may only create candidates; no qualified reviewer evidence has been supplied.
OPERATIONS	OUTBOUND_DATA_REQUEST_COUNT	0	0	true	true	user authorization boundary	Packets may be prepared but not sent.
OPERATIONS	COMMERCIAL_PURCHASE_COUNT	0	0	true	true	user authorization boundary	No purchase or subscription is authorized.
OPERATIONS	CONTRACT_ACCEPTANCE_COUNT	0	0	true	true	user authorization boundary	No external terms or contracts are accepted.
OPERATIONS	MAIN_PROMOTION_ALLOWED	false	false	true	true	Round 3K promotion policy	The feature branch remains unmerged until every 10,000-record and integrity gate passes.
OPERATIONS	FORCE_PUSH_USED	false	false	true	true	Git policy	History must remain append-only.
