gate_key	metric_key	operator	required_value	unit	hard_gate	condition_or_note
GATE_3_10000	HELD_OUT_COMPETITION_FAMILY_COUNT	>=	3	families	true	Candidate split design only.
GATE_3_10000	HELD_OUT_COMPETITION_YEAR_COUNT	>=	1	years	true	At least one complete competition year.
GATE_3_10000	DIRECT_C1_OR_SOURCE_ROAST_RECORD_COUNT	>=	4000	records	true	Direct or source-native roast evidence.
GATE_3_10000	FILTER_OR_POUR_OVER_RECORD_COUNT	>=	2000	records	true	Fresh professionally judged service.
GATE_3_10000	ESPRESSO_RECORD_COUNT	>=	2000	records	true	Black espresso service.
GATE_3_10000	PROFESSIONAL_CUPPING_OR_ROASTING_RECORD_COUNT	>=	2000	records	true	Green competition, standardized, or production-roast cupping.
GATE_3_10000	REVIEWED_POSITIVE_RECORD_COUNT	>=	7000	records	true	Governed positive labels with complete provenance.
GATE_3_10000	MULTI_TARGET_RECORD_COUNT	>=	1200	records	true	Governed multi-target labels.
GATE_3_10000	ABSTENTION_OR_UNRESOLVED_RECORD_COUNT	>=	1000	records	true	Legitimate unresolved and abstention strata.
GATE_3_10000	AMBIGUOUS_OR_CONFLICTING_RECORD_COUNT	>=	500	records	true	Governed ambiguity/conflict strata.
GATE_3_10000	TRAINING_LABEL_PROVENANCE_RATE	=	1.0000	ratio	true	Every candidate label joins through raw evidence and decision lineage.
GATE_3_10000	MODEL_RESEARCH_RIGHTS_RATE	=	1.0000	ratio	true	All model-eligible records have affirmative model-research rights.
GATE_3_10000	CROSS_SPLIT_COFFEE_IDENTITY_LEAK_COUNT	=	0	leaks	true	Deterministic grouped candidate splits.
GATE_3_10000	CROSS_SPLIT_DUPLICATE_LEAK_COUNT	=	0	leaks	true	Duplicate groups cannot cross partitions.
GATE_3_10000	CROSS_SPLIT_MIRROR_LEAK_COUNT	=	0	leaks	true	Mirror groups cannot cross partitions.
GATE_3_10000	TRAINING_CORPUS_REPRODUCIBLE	=	true	boolean	true	All named inventory hashes reproduce across two clean rebuilds.
GATE_3_NORMALIZATION	REVIEWED_POSITIVE_PROFESSIONAL_EXPRESSION_INSTANCE_COUNT	>=	3000	expression_instances	true	Expression-level denominator.
GATE_3_NORMALIZATION	UNIQUE_REVIEWED_PROFESSIONAL_LEXICAL_FORM_COUNT	>=	1500	lexical_forms	true	Unique governed professional forms.
GATE_3_NORMALIZATION	MULTI_TARGET_EXPRESSION_COUNT	>=	500	expressions	true	Expression-level multi-target stratum.
GATE_3_NORMALIZATION	ABSTENTION_OR_UNRESOLVED_EXPRESSION_COUNT	>=	500	expressions	true	Expression-level abstention/unresolved stratum.
GATE_3_NORMALIZATION	AMBIGUOUS_OR_CONFLICTING_EXPRESSION_COUNT	>=	300	expressions	true	Expression-level ambiguity/conflict stratum.
GATE_3_ASSOCIATION	P1_P2_DESCRIPTOR_COASSERTION_EVENT_COUNT	>=	10000	coassertion_events	true	Descriptor absence is never a negative association.
GATE_3_ASSOCIATION	INDEPENDENT_COASSERTION_SOURCE_FAMILY_COUNT	>=	5	source_families	true	Edge provenance is mandatory.
GATE_4_12000	OBSERVED_CORE_PROFESSIONAL_RECORD_COUNT	>=	12000	effective_round_service_records	false	When reached, the forensic audit becomes mandatory.
GATE_4_12000	SYNTHETIC_CORE_RECORD_COUNT	=	0	records	true	Mandatory if the trigger is reached.
GATE_4_12000	INFERRED_PROFESSIONAL_DESCRIPTOR_COUNT	=	0	assertions	true	Mandatory if the trigger is reached.
GATE_4_12000	UNLINKED_REPEAT_COUNT	=	0	repeats	true	Mandatory if the trigger is reached.
GATE_4_12000	PROVENANCE_RATE	=	1.0000	ratio	true	Mandatory if the trigger is reached.
