variant_id	question_id	option_id	question_language	option_language	examples	concept_ids	semantic_key	wording_status	lineage
B	floral_tea_reference	white_floral	再想想香气，下面哪些例子比较接近？	茉莉这类轻柔花香		sensory.jasmine	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	roast_smoke_reference	smoke	这些香气中，哪些让你有联想？	木柴燃烧留下的烟气		sensory.smoky	roast_smoke_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	roast_smoke_reference	warming_spice	这些香气中，哪些让你有联想？	肉桂这类温暖香料		sensory.cinnamon	roast_smoke_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	roast_smoke_reference	wood_tobacco	这些香气中，哪些让你有联想？	干木头，或干烟叶的香气		sensory.tobacco|sensory.cedar	roast_smoke_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	roast_smoke_reference	smoke	这些香气中，哪些让你有联想？	木柴燃烧留下的烟气		sensory.smoky	roast_smoke_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	roast_smoke_reference	warming_spice	这些香气中，哪些让你有联想？	肉桂这类温暖香料		sensory.cinnamon	roast_smoke_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	roast_smoke_reference	wood_tobacco	这些香气中，哪些让你有联想？	干木头，或干烟叶的香气		sensory.tobacco|sensory.cedar	roast_smoke_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	fermentation_character	earthy	下面哪些气味联想比较接近？	雨后泥土的气味		sensory.earthy	fermentation_character	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
A	fermentation_character	fermented	下面哪些气味联想比较接近？	熟透水果带一点发酵的气味		sensory.fermented_character	fermentation_character	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
A	fermentation_character	winey	下面哪些气味联想比较接近？	葡萄酒的果香和发酵香		sensory.wine_like_character	fermentation_character	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
B	fermentation_character	earthy	下面哪些气味联想比较接近？	雨后泥土的气味		sensory.earthy	fermentation_character	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
B	fermentation_character	fermented	下面哪些气味联想比较接近？	熟透水果带一点发酵的气味		sensory.fermented_character	fermentation_character	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
B	fermentation_character	winey	下面哪些气味联想比较接近？	葡萄酒的果香和发酵香		sensory.wine_like_character	fermentation_character	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
A	acidity_character	berry_like	水果的联想更像哪些例子？	蓝莓这类小浆果		sensory.blueberry	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	acidity_character	citrus_like	水果的联想更像哪些例子？	柠檬、橙这类水果		sensory.lemon|sensory.orange	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	acidity_character	berry_like	水果的联想更像哪些例子？	蓝莓这类小浆果		sensory.blueberry	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	acidity_character	citrus_like	水果的联想更像哪些例子？	柠檬、橙这类水果		sensory.lemon|sensory.orange	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	direction_A	fruit	这杯咖啡最先让你想到哪些方向？	水果	例如柠檬、橙、莓果	sensory.lemon|sensory.orange|sensory.blueberry	family-direction	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	direction_A	floral_tea	这杯咖啡最先让你想到哪些方向？	花香或茶	例如茉莉、轻柔花香、绿茶	sensory.jasmine|sensory.rose|sensory.orange_blossom|sensory.green_tea	family-direction	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	direction_A	sweet_nut_cocoa	这杯咖啡最先让你想到哪些方向？	甜香、坚果或巧克力	例如蜂蜜、焦糖、杏仁、巧克力	sensory.honey|sensory.caramel|sensory.brown_sugar|sensory.almond|sensory.hazelnut|sensory.dark_chocolate	family-direction	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	direction_A	roast_spice_ferment	这杯咖啡最先让你想到哪些方向？	烘烤、香料或发酵	例如肉桂、烟熏、酒香、土壤感	sensory.cinnamon|sensory.tobacco|sensory.smoky|sensory.cedar|sensory.earthy|sensory.fermented_character|sensory.wine_like_character	family-direction	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	direction_B	fruit_flower	这杯咖啡最先让你想到哪些方向？	像水果或花	也可以包含茶的香气	sensory.lemon|sensory.orange|sensory.blueberry|sensory.jasmine|sensory.rose|sensory.orange_blossom|sensory.green_tea	family-direction	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	direction_B	sweet_nut_cocoa	这杯咖啡最先让你想到哪些方向？	像糖、坚果或巧克力	例如蜂蜜、焦糖、杏仁、巧克力	sensory.honey|sensory.caramel|sensory.brown_sugar|sensory.almond|sensory.hazelnut|sensory.dark_chocolate	family-direction	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	direction_B	roast_spice_ferment	这杯咖啡最先让你想到哪些方向？	像烘烤、香料或发酵	例如肉桂、烟熏、酒香、土壤感	sensory.cinnamon|sensory.tobacco|sensory.smoky|sensory.cedar|sensory.earthy|sensory.fermented_character|sensory.wine_like_character	family-direction	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	fruit_flower_branch	fruit	再分开想想，哪些例子比较接近？	柠檬、橙或蓝莓的果香		sensory.lemon|sensory.orange|sensory.blueberry	fruit-flower-branch	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	fruit_flower_branch	flower	再分开想想，哪些例子比较接近？	茉莉、玫瑰这类花香		sensory.jasmine|sensory.rose|sensory.orange_blossom	fruit-flower-branch	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	fruit_flower_branch	tea	再分开想想，哪些例子比较接近？	泡开绿茶后的香气		sensory.green_tea	fruit-flower-branch	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
