human_audit_item_id	audit_sequence	descriptor_assertion_id	source_family_id	source_artifact_id	effective_record_id	coffee_identity_id	year_id	publication_layer	source_native_form_id	restricted_source_pointer	machine_disposition	machine_output_atom_ids	machine_mapping_states	machine_concept_cluster_ids	collection_tier	blind_review_order_sha256	reviewer_id	human_disposition	human_split_count	human_concept_decision	human_error_category	human_review_note	human_reviewed_at
human-semantic-audit:a5a0d9cad7550ee5a0ab85bb	11	assertion-b2:42951a82bf5a46862c91b213	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:153e59684061d91715b735c9	coffee-b2:69422d51bb73eb877ab10d88	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:c082456a7766e23a18db084c	hash:sha256:2ed26eeab16c7c2164524c23bd0a6ee2ffbfb400f14e20b655a3581a5eb7b3d3	MODIFIER_ONLY	cleaned-output-atom:3389d7105071633355123609	MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:514e915a67f882159ecfd702	GOLD	0508b17a1015df4f7e449b198e3da95e36f34d64885fa1ac7cc27c75bbbe01b9							
human-semantic-audit:b9ef639948a0da9a4eb9027b	12	assertion-b2:a4fb83da08a93a5611d26631	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:b308d8f60353f97d77f25d0f	coffee-post20k:bd01ea7bd19f4bb128e92980	year.2022	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:f97e9da0e3b879f0a9df979a	restricted://post20k_extension/assertions/assertion-b2:a4fb83da08a93a5611d26631	NON_DESCRIPTOR	cleaned-output-atom:f03341b37e4042cfc538964e	NON_DESCRIPTOR	concept-cluster:253aa868967b741f0a564e37	GOLD	050e98f63ff781b4d4851ce487c5423b10469945773abb83de2422f56ef3e817							
human-semantic-audit:ddfeda1d6c841a0179afc6f2	13	assertion-b2:0df124124f5c803e8d768bc9	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:29d927c58adf72fd3313c35c	coffee-b2:0608e393dfb8f7dc7451a14f	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:099bbde85d2ab4f33035c0d4	hash:sha256:94f47a5effa5bdfc039fbf23297b2accb9150c0eee2a8d07e97a885b4379d953	VALID_COMPOUND_PRESERVED	cleaned-output-atom:6ce861536611ce5fd7f9d30f	EXISTING_CANONICAL_EXACT	concept-cluster:9e3735e073075f3f9406dc80	GOLD	0532796a4426ed3058f450798ad9fef1004022a75ad6d957edd1cf05b476b7ce							
human-semantic-audit:fd55f508122553c54fa3ad91	14	assertion-b2:e77433bf343333f6d823488d	family.coffee_board_of_india_fine_cup	artifact-b2:67cf3d0e9cb42b7046f775da	effective-b2:c65667b2c74ede69b28f23bf	coffee-b2:c65667b2c74ede69b28f23bf	year.2019	OFFICIAL_AUCTION_LOT_SENSORY_FIELD	source-form:69f42c8853906e8fbc158f40	hash:sha256:fa3f4390493e25d2bb179db919cd823d2bdbcca77b171457d4d0b3f78ad6a694	VALID_STRICT_FLAVOR	cleaned-output-atom:6cf9423055f90e3d5f117bd8	GENUINE_ONTOLOGY_CANDIDATE	concept-cluster:ccf75bedafd68168f16dc826	SILVER	0582b7c28cb934acbe33f0443f5eaecac111e80d31b95b0ec47832f591b3a758							
human-semantic-audit:3f4995debfea8c804e1a4b94	15	assertion-b2:44528f4aa155a0bf78e1589c	family.ace_cup_of_excellence	source-artifact:a972a732557579c51aac31e6	effective-b2:ff3eec54a6a5ac40bd501dd6	coffee-b2:687556e22f21f16d077bd527	year.2024	GENERIC_ORGANIZER_SENSORY_FIELD	source-form:b6f436d9d3beaf4d676ebab5	restricted://post20k_extension/assertions/assertion-b2:44528f4aa155a0bf78e1589c	VALID_COMPOUND_PRESERVED	cleaned-output-atom:2f9dc8187c086613d401afd2	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	concept-cluster:550c354ca9f3411d5b5fe931	SILVER	0693471250405089e07f7da441a9c15f26749c3eb5a40a31b6e76a72e2418e71							
human-semantic-audit:04d709608505f15095fc233b	16	assertion-b2:99cb40c59c02f844b9397f54	family.project_origin	artifact-b2:7513f5ee31b0a0438262d0c0	effective-b2:f758ab2b44afc8bee7355d6e	coffee-b2:3d3d3f40dfae7c9e6e1b9553	year.2026	PROFESSIONAL_COMMERCIAL_SENSORY_FIELD	source-form:e4378e9c551f7f9cc1539326	hash:sha256:a727b2c5a54eade1e008d6f27389a3811472d3fe317856c843396ea9f51f5806	VALID_BROAD_SENSORY	cleaned-output-atom:eb1a44b49ff0488a18eb2dfc	QUALITY_OR_STRUCTURE_ATTRIBUTE	concept-cluster:89815ab731cb2c2b38bd3f75	BRONZE	06b573f49c17bb8bd461708b7f58c6772705a9a034f6f422ab2624d1fd5a8646							
human-semantic-audit:c31c8d60de12f8d855541291	17	assertion-b2:3aa5e995de240d7426429c3e	family.ace_cup_of_excellence	artifact-b2:6c96e1a5496b8d8c09d3a23d	effective-b2:a589fd99b458743911a43de4	coffee-b2:2b73c82fa853593ba74a778e	year.2015	GENERIC_ORGANIZER_SENSORY_FIELD	source-form:ee8119bddc691f6bf6c56710	hash:sha256:21e3f0269c6fba3b2f13811271ef2631b72854f34b0b111ddcd110512eef228e	MODIFIER_ONLY	cleaned-output-atom:77173636790a17bae100fea7	MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:373f2527a0243c843fabdf22	SILVER	078bb5531b214b351c854f977060b7d87b4a21a0c0d76f02efbd4d31a2abb8a4							
human-semantic-audit:28e0f3c4e29ae01a579e1e62	18	assertion-b2:c0323168c0bdda9202cf80eb	family.project_origin	artifact-b2:7513f5ee31b0a0438262d0c0	effective-b2:16bd0023d286a384708f690c	coffee-b2:87dd6206bb5f814f983a88e6	year.2026	PROFESSIONAL_COMMERCIAL_SENSORY_FIELD	source-form:d5fa68e2df5823ba714f0a43	hash:sha256:b0a2f19953949067c783f796fa8843141aa2a3abe8cbc3354740a9283136b7eb	VALID_COMPOUND_SPLIT	cleaned-output-atom:c898914048d5da8e2537fcc0|cleaned-output-atom:fcca7d9f5e5a558b4ca76706	EXISTING_CANONICAL_EXACT|MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:e02f9c8ddc5d774d0a65608d|concept-cluster:8622cc36e5b6369b4616a11c	BRONZE	07aa86a6415603f0db370a77845c795344c712cb6e3d5ef05422612072dcdbfc							
human-semantic-audit:4facb758a2aa24920d88579b	19	assertion-b2:a9d3323122c846e9bf289ad1	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:064a7019998af51e3a8b1496	coffee-post20k:8d5f51c6f4163392b6e81a4f	year.2022	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:d20ce8104029c11856de8c33	restricted://post20k_extension/assertions/assertion-b2:a9d3323122c846e9bf289ad1	VALID_COMPOUND_SPLIT	cleaned-output-atom:d0bb7b34e748a7040e77a043|cleaned-output-atom:965c122d0f9cb1756c17fc90	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM|GENUINE_ONTOLOGY_CANDIDATE	concept-cluster:bdd31ed0b0741c99250d54da|concept-cluster:a1c767861fec82bee12e4932	GOLD	07eec27eeb24f97f90b8d515626f0ba07e0aa3b58c1cb0f0ce47751016776841							
human-semantic-audit:5d3dd151aceb11f3d2a0def4	20	assertion-b2:991b700e0696ab67f2e84c0e	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:e3fb9fa47f458ba896ce6703	coffee-b2:fb5812287c4d4a11f49d0f3f	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:c0f1779c16d26bac92c4e32f	hash:sha256:dcd6bce8ed3aa45ad0fd2b834f5880910b8b9b52e8e4d112c980b7a5eac4b3a7	VALID_BROAD_SENSORY	cleaned-output-atom:5bef6c6dbd5813a7a91a5db4	QUALITY_OR_STRUCTURE_ATTRIBUTE	concept-cluster:1bbe75434eceb735c8a8ee29	GOLD	07f7f2992dcf3521229000a2bb275b52803693ceb4f470d28c8731c6b0989181							
human-semantic-audit:dd911cfc25ab8e0adf5154ac	21	assertion-b2:a9123d74352fe52aa797453e	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:77c9c315fc9eaa6ee8864bf0	coffee-b2:991b72456459d0bd640ceb57	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:83634c944bddc9312508a6fa	hash:sha256:83634c944bddc9312508a6fad8325434a93087b4d65ce11c7312b4e729575dc3	NON_DESCRIPTOR	cleaned-output-atom:2a7aec41e03a2c4ff814fdb1	NON_DESCRIPTOR	concept-cluster:1cc6575c7630d8125f8a06d6	GOLD	080762c4b7cfee9ec25b4b8bffd64896a287a4733f1c24b505762a14976a9d57							
human-semantic-audit:c5d66dc5d692a73d8f414961	22	assertion-b2:74f852609a2195014d08aa4d	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:5a5894edb1731d8ba71f03b6	coffee-b2:e1c1405478ffe2ba034e2594	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:b755cb248c3c4a7d94f835b4	hash:sha256:938d5d2e6d677f285618386d8a7eaeef468a9484f0a1489e224a6b36c6a64661	VALID_STRICT_FLAVOR	cleaned-output-atom:9ec571ffddef6d692c083c1f	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	concept-cluster:e36688b7a55acddfd65f50cb	GOLD	081869b01b78c8131aace00fe66ee4881e6eb51f647eaa35de3c0e7f3c6cdc71							
human-semantic-audit:2b56d8dfc6dd2968e4a3bf86	23	assertion-b2:0bde548cdb08d400325c4798	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:a8ebb6c384c8d1afdfc6c351	coffee-post20k:3acf72a5ab0693af3e86ebbc	year.2022	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:01e7c30f7fec479d601b6df8	restricted://post20k_extension/assertions/assertion-b2:0bde548cdb08d400325c4798	MODIFIER_ONLY	cleaned-output-atom:7a2f2f3476d34f186bda82e8	MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:527fc2be53e4a1f199e90a03	GOLD	0857c1a582a4666805eea5002e9aba2354d21134185ddff717ee45eef234eaa7							
human-semantic-audit:5e78a4a4c8d03324eac1f1d6	24	assertion-b2:8cbbd87f108101ad13582631	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:fc30d7cc20260d19a75abcd2	coffee-b2:8c9f68d01be4b0835199a08d	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:510e9cd005e362235259c1db	hash:sha256:a8e50d76f1c8e71456afb5f65d52839d9b3d5107b0e461c0e232569805b4abe2	VALID_COMPOUND_PRESERVED	cleaned-output-atom:0d4d1c6ba3fed45db3e51d3f	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	concept-cluster:550c354ca9f3411d5b5fe931	GOLD	086a728ea59da3e8326b0cf5ade47e7df2a7278c9e243520b47c01ca62a414e8							
human-semantic-audit:aafc49f5b6f26c4b6c1f631b	25	assertion-b2:137a272e305194a47b614213	family.project_origin	artifact-b2:7513f5ee31b0a0438262d0c0	effective-b2:68d8578fa706fd03fd72d237	coffee-b2:acd21a4ca8d473010ceffe90	year.2025	PROFESSIONAL_COMMERCIAL_SENSORY_FIELD	source-form:f3c9e1abbe7d6869e841a2f8	hash:sha256:c9ce29ec0a2a9af46ab830d3da70af3029c64b487c1c39c6ff6e724c621416d0	VALID_BROAD_SENSORY	cleaned-output-atom:d3c3894828a1663e45c9aa7c	QUALITY_OR_STRUCTURE_ATTRIBUTE	concept-cluster:a4a52534827dbd0ba544ed04	BRONZE	08ba8f6051b3efe578457f215c2a3fb96289303656ed98058fdd7b85b6ea3abd							
human-semantic-audit:8f4331db8b5996a4790868f1	26	assertion-b2:04d020aeb6aa957d325ca824	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:efe30a84be04fb7291d53c31	coffee-b2:ed240c03fe7c1d656f62574a	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:55647a2b339915d33b59a244	hash:sha256:0e3a4bf304084a5ae25bfa435f37d97f7020bb2f407ef38262b92c95347bf535	VALID_COMPOUND_SPLIT	cleaned-output-atom:9e60583f8ba56ab14e8b2071|cleaned-output-atom:dad6bcf63c49e91a07213456	GENUINE_ONTOLOGY_CANDIDATE|MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:04a5ca027d40c9bfa0a41b0a|concept-cluster:3dc143dad637da1d8d156d8f	GOLD	08f7d5ab56f656061ef88d4f540e7355b9ff589cfd673c97241235913c7a4045							
human-semantic-audit:e4c58e8e8f05e75ffdbbb29b	27	assertion-b2:c8118521dddda45e9ff3f30b	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:78702658e61fb15b0487ddda	coffee-post20k:3e6e378194ddda3099786111	year.2021	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:aa8ad6a6ea5f0b9b393342ba	restricted://post20k_extension/assertions/assertion-b2:c8118521dddda45e9ff3f30b	PROCESS_OR_ORIGIN_METADATA	cleaned-output-atom:24c3546d51b11f37c90217be	NON_DESCRIPTOR	concept-cluster:ed6b8e3a0438a77041ffac17	GOLD	09041e5ad241dac3557f513db69e23f5a0af59b6560d3a4c0e84d380070f47d4							
human-semantic-audit:5ad372522ac5ec1f0d0e4153	28	assertion-b2:69c78f15c742edd7a077ce47	family.ace_cup_of_excellence	source-artifact:4b32bb05dd1fc2352822d8a5	effective-b2:779d11ce266cb4f250f32413	coffee-b2:a6c702972d9ee9807d71a74b	year.2025	GENERIC_ORGANIZER_SENSORY_FIELD	source-form:6daddeda6aebc96621e4a0b3	restricted://post20k_extension/assertions/assertion-b2:69c78f15c742edd7a077ce47	VALID_COMPOUND_SPLIT	cleaned-output-atom:a3e28ba6fb79ca2c8dcd064c|cleaned-output-atom:4f7fa75ca30b5ab3050a3d77	MODIFIER_OF_EXISTING_CONCEPT|QUALITY_OR_STRUCTURE_ATTRIBUTE	concept-cluster:527fc2be53e4a1f199e90a03|concept-cluster:85a01358939418c9214457ae	SILVER	09e8f5c60bd2b51d69b64aef07570b009d98a75143d99fb4d7022a4478fe1db8							
human-semantic-audit:3772bc15b46fd0b62c5f69f3	29	assertion-b2:0ff0c179492c5adfe70c6d77	family.coffee_board_of_india_fine_cup	artifact-b2:67cf3d0e9cb42b7046f775da	effective-b2:1bf78b80aa05cfdea58f8489	coffee-b2:1bf78b80aa05cfdea58f8489	year.2019	OFFICIAL_AUCTION_LOT_SENSORY_FIELD	source-form:97cb3863cc9ec33e35184532	hash:sha256:bb279ca55ca7fef13a618313ef40f8f8e8512e182026e75587cf511391d2e47b	VALID_STRICT_FLAVOR	cleaned-output-atom:fadb1923e0e97627a0202c48	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	concept-cluster:6b89b2aef09becff414c05fd	SILVER	0a36468b7256fbe2d4add02a729eb7444f636d118d50be5e3dbe14d9d5650842							
human-semantic-audit:a50f80cfdfba8fcba154e786	30	assertion-b2:60b7c9cd52cdc8fe5997acca	family.coffee_board_of_india_fine_cup	artifact-b2:67cf3d0e9cb42b7046f775da	effective-b2:0cc34537a1cae74c3921b19f	coffee-b2:0cc34537a1cae74c3921b19f	year.2019	OFFICIAL_AUCTION_LOT_SENSORY_FIELD	source-form:b1123b42a6d1bb3e5e45c403	hash:sha256:0b97d4ebcdba3b25906889d48055498c395ee6e5adc85a9dc2347abc8f5ea2ff	VALID_STRICT_FLAVOR	cleaned-output-atom:82a4cdcb592248c28d79600a	AMBIGUOUS_CONCEPT_BOUNDARY	concept-cluster:428200dc97310a3af7140d6a	SILVER	0abf6ab438444785c7f13cd06df6821b6a8c56a1ba9b9a4812af2e81bd1235ce							
human-semantic-audit:f5183aa0e8226b0f2cc3d2a5	31	assertion-b2:959d0433d030f1102a93b497	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:a01716b6832f3cb461ef5f53	coffee-b2:011b6e8495a35eed7aff56cc	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:7073ba391f6781ee969ea9b3	hash:sha256:7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509	VALID_COMPOUND_PRESERVED	cleaned-output-atom:b802079c40d0834d30f90a7c	GENUINE_ONTOLOGY_CANDIDATE	concept-cluster:e9ab5b692e49469eecd68d34	GOLD	0afed9ff49cda4c857eea0e8ebfcb6bf4f5c61e40d9e93cfea2cc3c04487da81							
human-semantic-audit:de698eefd8266f38c9e91717	32	assertion-b2:fe0a7bb2b3c3e9d86f1e4fa5	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:153e59684061d91715b735c9	coffee-b2:69422d51bb73eb877ab10d88	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:3313aef6660f7149e6012b66	hash:sha256:51f74e8237f0da9ebbd3aad4b0c4091fb3781c34d67e4fb99653ba28f61c15f9	VALID_COMPOUND_SPLIT	cleaned-output-atom:41b92240fca03aea35859d81|cleaned-output-atom:9d68cd6a106503adf6fe3a31	GENUINE_ONTOLOGY_CANDIDATE|MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:c997702f89b15f24e5c90620|concept-cluster:7c5499edbea9a980d5290740	GOLD	0b0e7d438a9ece51859a5cbc56433f669cc4d70b900c019247190a7de4563b90							
human-semantic-audit:595c9ee3ad99d68d2359cb15	33	assertion-b2:2c60626818620ba99cc07f3c	family.ace_cup_of_excellence	artifact-b2:96e7f854e5a2a44eec32521c	effective-b2:4d682f71b5b080f186bc4627	coffee-b2:aced8115786e2ad7a3bdacf8	year.2012	GENERIC_ORGANIZER_SENSORY_FIELD	source-form:f5f445528f4a0134354c891f	hash:sha256:fc9825abf90f3afb27a5365206d5d67959090bcc0d528bd7875f0ddbb89e3c9e	MODIFIER_ONLY	cleaned-output-atom:f1fc50bff43992e274762117	MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:89dcf9f9f8e0130f56dfc653	SILVER	0b7e2627dfd8a1baa1cf76ba339e2a2a77fc7e279e9a54c50338d80d1222f954							
human-semantic-audit:474de2fecb143440cb325f12	34	assertion-b2:970be329988ff71989e24e81	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:031981af7b533f0d631c1485	coffee-b2:1de620983b67cdeb9f4f623a	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:1b4c9133da73a71132240431	hash:sha256:4cfa0220b0a5c5ee2e4cfca374c5f8b7b614f8ca1c4f957a7d2e86af0e57a40b	VALID_STRICT_FLAVOR	cleaned-output-atom:43776aaf1cf50214db790411	EXISTING_CANONICAL_EXACT	concept-cluster:7e2cab11be5e3b34887e4d2a	GOLD	0bb1cbd3d477c76a6fcd49a33b00771947fcf7702b8fe404ca751c27779420aa							
human-semantic-audit:d4b03039d519d20ef59e13ba	35	assertion-b2:ede91b3a6794683fd8ad1525	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:89b71f0b2f9f6144277f4948	coffee-b2:bb5f12a88a81ceb5f24d6557	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:dce34e094109d0c0e096b1c3	hash:sha256:8853bda5cc085ce3583ba6d0d2ac15740ecdc5d6ef2266aa3c1df0ac73ee510c	VALID_COMPOUND_PRESERVED	cleaned-output-atom:5e15b2b61b87f52bfb0a0a66	EXISTING_CANONICAL_EXACT	concept-cluster:d2f7359bb44630f029238163	GOLD	0ca647b28cb30457ce3e93ba6b47c61e21bdce655d189c7b87abeda5600f7690							
