semantic_relation_evidence_id	semantic_relation_id	source_id	source_locator_or_restricted_pointer	term_or_context_hash	relation_supported	evidence_authority	rights_status	raw_definition_published
semantic-evidence:baf889ea850ea00b85ac24f2	semantic-relation:0de90656e9655c6483d21805	semantic-reference.pmc13279845	PMC13279845#table-1-row-9	7b63f2d67fd9cba6196d70c2706169e273c03da14daeab634c12df455f2cf366	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1e5ebe7fd11ca7e6d984c870	semantic-relation:1246f4a50040ac8dc51f7a38	semantic-reference.pmc13163763	PMC13163763#table-2-row-17	b4f6fbc8ea08169b6bdc77c9d9f9a3007d8e9dfa0e41398449ab33165357a935	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:e0d26a19f5ffb9ff97fbd681	semantic-relation:13cd9abf61ed9f3a75eee4a7	semantic-reference.pmc13163763	PMC13163763#table-2-row-3	f54651661e04d9607d5ab91cc3fa2586a2fe98994f7c7c76febb039673bd84c9	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:134d3ceece3e3599843504c7	semantic-relation:13ce5a83ea47e76a964d062b	semantic-reference.pmc11675256	PMC11675256#table-1-row-13	1e000711b681621fab02c82144dfa58d9d7af41c017c9e71530c3067515ee686	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:c52dcd6db43e62ac4d3ed8df	semantic-relation:1619b5a663f09d105243baf3	semantic-reference.pmc11675256	PMC11675256#table-1-row-9	242c948b1519676431fcf2a4e840b52d7c7321e9a817076e5f596b323370d213	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:ac38e1b71fe97033cd115e63	semantic-relation:170221d580704015be10a2c1	semantic-reference.pmc13279845	PMC13279845#table-1-row-7	8def7d395e0931e8f667c97afb67f8e61b9cae7b7adf5c3876e1daeedb34b224	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:11ebf55a0c8a6e765c2edb9c	semantic-relation:171b72df3b3461cd3977387e	semantic-reference.pmc13163763	PMC13163763#table-2-row-12	45e52a53cfa1c3ba0a90eafbef34803b81d142cdb64caa02dda53dee3b38e805	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:15f22a87958e12497cf23a37	semantic-relation:191f56fce40e8d79efe483b9	semantic-reference.pmc13279845	PMC13279845#table-1-row-15	010561db176bfa2672846cd6f12e02ef845b781daaa1abf05bca0037bdcd4f4a	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:bdf39092243e600255ae32c2	semantic-relation:192af97be3309d72dad490cd	semantic-reference.pmc13163763	PMC13163763#table-2-row-24	71d8cb7c91fed2ba34d23fc25981539255208a63a3d5e91bbb1e9a975fb6b1c4	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f9a1c738d23e7d8663932717	semantic-relation:1e536fc00e812cf842c41327	semantic-reference.pmc11675256	PMC11675256#table-1-row-24	bc6ba830c7c1c0cb7d996de58b0c37100baa9b819a94aa0c5144046bce0f0594	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:287a3204d0811d48a6bfc148	semantic-relation:2aa51fd21346c6c9bc325e4e	semantic-reference.pmc11675256	PMC11675256#table-1-row-1	2c7d4d1da926f5d0921a2e6268661e26e4f1df5eaf9ee47f39e3486641aa4e33	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:82014f9d5139cb822b79bec3	semantic-relation:2b959b948cde31631a3183c5	semantic-reference.pmc13163763	PMC13163763#table-2-row-16	6ef2b868d7843b33d6eb89b90d7c3d40dff3f414cd9a2f0e21df75bb02c71c30	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:176d4d8ac079e5fc7b990eb0	semantic-relation:3115556fb8e8cf29b0aaa1fb	semantic-reference.pmc8774372	PMC8774372#table-3-row-22	522b87326c8fb9d14fa7e729c6748899611e9d8cbd14817f284326e8cf19ec79	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:5550d69eab1c3e28da64d6eb	semantic-relation:336c7df551166ad0986db1a1	semantic-reference.pmc11675256	PMC11675256#table-1-row-28	98a7aa0b8fc2d3896d42a08a8ed6957dec33a386bdc584f1aa05680014e19eec	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:977c829d0e6622165cba29ed	semantic-relation:36300eabdfb577f2e4ac9c0b	semantic-reference.pmc13279845	PMC13279845#table-1-row-8	0c14ce7d53a0d02597daef37aec80dd78dcc2c79985dc577a5460ef963e4ffce	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f8aa5def41a94114d517ed52	semantic-relation:39669f74eaaf1b2634010174	semantic-reference.pmc13279845	PMC13279845#table-1-row-13	7cd61f025c15dd558467b1a3fb917e5f59d31702866e29ac0df07fa789400696	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:3a892f1b0b669fa7d432414d	semantic-relation:39a2bf390809d7acc1c724cf	semantic-reference.pmc8774372	PMC8774372#table-3-row-9	ed68e76542197d1df1f3dcc7a080b3228db00117022e44158257ce6d6d9e35e9	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:be70cd401a202ba519c459ad	semantic-relation:3c2c39437b9cbab2c3e329a2	semantic-reference.pmc11675256	PMC11675256#table-1-row-8	e0dddaa988c7c687bf872b29e5915db3dd3ca97a97b5bb673a69962619c992a0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:eaeede17dc9a6dc6383b2dc2	semantic-relation:3f5e463c7b9c858a0c6fbf4a	semantic-reference.pmc13163763	PMC13163763#table-2-row-1	4bd9a5eb23ba8d24f1133afe67249327e5f43883b6ab58e8586765b4a964f1cd	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:7f5f8f749ffe92171a914c4e	semantic-relation:40b0ec782dd6ee2339c222a4	semantic-reference.pmc11675256	PMC11675256#table-1-row-14	da5dc8f9f0e7aab4a93afa2a3d0a25f8e672fd2f013df3bf01c993ddc0bac97c	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1ad92c512c145744378f48cc	semantic-relation:417a8113d41cabbfec563316	semantic-reference.pmc11675256	PMC11675256#table-1-row-21	70c272d43d3f6f84116c550adb0c44ebdb6569d9c7f43042c8a2a5bd7c0af7eb	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:682536d16492d31430253f5b	semantic-relation:4ba89b344616f75c2f785a75	semantic-reference.pmc13163763	PMC13163763#table-2-row-9	91e2ee53c0d2f2890978bfc74ed1691ec576580842fbac861be39d3df44005ff	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:d64a87e33213cc733e28df52	semantic-relation:4f1d72b2cd2a9e5cadefb406	semantic-reference.pmc13279845	PMC13279845#table-1-row-18	a21a72ed2010581394921c2db76762904b4aa8f24da7eb68aef3e17207908795	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:b5d2a9be82a9fc926e73fc05	semantic-relation:541a0bd7dfe6b8e5f99116ca	semantic-reference.pmc11675256	PMC11675256#table-1-row-30	230d8358dc8e8890b4c58deeb62912ee2f20357ae92a5cc861b98e68fe31acb5	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1df5584fbf1fffebdff71e05	semantic-relation:545bc42578849abb4751c1d2	semantic-reference.pmc8774372	PMC8774372#table-3-row-4	07c16eb14df2621d33f6befc1a4a317faa51a5193731626ab0dd51b05db85252	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:7c308022379de172a3c826bb	semantic-relation:56e3fb3adb599cb39c66cc5e	semantic-reference.pmc11675256	PMC11675256#table-1-row-25	13edb07560c76475c15a0858831cc480ee5bc50a1772e460640b8d972136efb5	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:b41ffb650fae2ac5eef27f78	semantic-relation:580cd8fe378ce42d2cfda742	semantic-reference.pmc8774372	PMC8774372#table-3-row-5	75aa6d282b1347a7bb87855de51f53c63d1494cc6c91b61701c75e61ea0aa52e	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:37462804604a9b489559635f	semantic-relation:5b2858ebeaeb5adc8e1786b6	semantic-reference.pmc13279845	PMC13279845#table-1-row-2	5ebe1bca1ee48d54d9809b7254763908c6b6cc6968e61150e7660204366b44a1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:3f30835b55df7ffee8782a04	semantic-relation:5c3a0acff117b08ab34687c8	semantic-reference.pmc13163763	PMC13163763#table-2-row-14	c9a4a3dad784c5e167bf542ee8966ce4077071af9a19c5cf2946b18798e33225	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f9adb75711e24b5e067b323a	semantic-relation:5cfefe405c3307ecef9b8ff1	semantic-reference.pmc13163763	PMC13163763#table-2-row-18	dcd6acdc859dfd614047badf3bf49f009c475df49af27a949a3fe75b949f28d8	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:98db6cee2e21b14a3b772b83	semantic-relation:61d68a77937aff8473a5ff5c	semantic-reference.pmc13279845	PMC13279845#table-1-row-23	5f9b6f5c8b79955072cef5d50d13df16b9a8f31dc5fdb045f41d0796101ebaeb	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:2ba653962ab4a3f0d83be3f5	semantic-relation:6218902dffa31d72d2637fc5	semantic-reference.pmc6776322	PMC6776322#table-2-column-1	9beb0bd026724c6545e78057eeb5e9c37fce906d35e7d0e8db0af3ce9b80221a	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:bf4bccb815e5852a5b85e08f	semantic-relation:64123968232b7897e6f454f4	semantic-reference.pmc13163763	PMC13163763#table-2-row-15	22f588646523840b2fd3e81478abbd7f62088dccf3e9afaa4be26ac6d674fb04	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:84952b9754699f9c72bb1983	semantic-relation:64840a103e71c7d7b5bf495d	semantic-reference.pmc11675256	PMC11675256#table-1-row-16	8787891f39a43ac4cfc1c643a8103db8d3c5bdcc64bcabdb3facadb08ece61fe	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f8a7cafa1e9096460c601c33	semantic-relation:67e6e97192f97a5557cde1f9	semantic-reference.pmc13163763	PMC13163763#table-2-row-11	ba7aa5c0f8b41edce671120332605d41ef8f861010274c172d29029a13014d6a	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:b31161c883c5b4f74810158f	semantic-relation:6ac65d84269e3f1b26b1feb7	semantic-reference.pmc13163763	PMC13163763#table-2-row-19	01f16f2840436dc0d979e513b454f2b82c0c497363379b7f4a2dcc1830a4134f	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f366a7fd00538554aa77da74	semantic-relation:6d3bee96be33b5821906801e	semantic-reference.pmc8774372	PMC8774372#table-3-row-18	7406150a35429b1f19cc60504ced20737d5234234b3782616101bfcb741428f2	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1aa66cbc8a7bb5a09295eb48	semantic-relation:6d745bc30dd4b5926cd3549b	semantic-reference.pmc13163763	PMC13163763#table-2-row-20	29a4f66fe348061dcfad2cc59ada52f94f294dd78bee5274ca579acadc8389c1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:432698159abdbff05192c0f7	semantic-relation:74f424def28a803bc4c6fc67	semantic-reference.pmc11675256	PMC11675256#table-1-row-19	bf6d7d458fd4a3812ee962bbe69ab975f28654a6e28aa5b8ead05394043ea25c	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:11e3e7c2431eb0b26674eb6c	semantic-relation:75fd39f8ac33f318a412bf8f	semantic-reference.pmc11675256	PMC11675256#table-1-row-10	e5942ff0bd16e98fc7a39ff9e05f0af65b286a445e15167493bdfc07b7e2d5c8	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:287c7789f57edb0dd228d936	semantic-relation:777db202926cddd1c0015bdb	semantic-reference.pmc11675256	PMC11675256#table-1-row-12	4c53e95e15816711ef4dc5505652c701af5d0349d863e9dc9e8893445765b17c	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:4dd8c7d2b522c7d8c53b1482	semantic-relation:7b8816aefbc2b04253f055fc	semantic-reference.pmc8774372	PMC8774372#table-3-row-14	b4a270d1a927b8c4f8429fba8177eb3abfb7c0df2acef7b7be0e7de73d4b426f	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f29a7bb654ba280c4175a2fb	semantic-relation:7d3724e961fa6a62eb25e4ba	semantic-reference.pmc8774372	PMC8774372#table-3-row-13	3214d0d649c7cb593784c1a7c648f03f66e95fbb039abb245ae23165ddf25d28	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:4220c6fb0335b70285b948e9	semantic-relation:7f605956233974c5312b6102	semantic-reference.pmc13163763	PMC13163763#table-2-row-7	3831fea738b46db142f58a82b33cd7970dbdcb0387a876765a9c5950b7d980ac	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:43e43dc4feafca7be997c5d3	semantic-relation:814bb3557e5662b4a4fcbde1	semantic-reference.pmc13279845	PMC13279845#table-1-row-3	876458bf089c7fb786cee5b26212c4222f06adb4cd80d47ccfedd0185970e158	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:56a51e08d2ba28e1cebe11cf	semantic-relation:82607e005af917672130a22e	semantic-reference.pmc8774372	PMC8774372#table-3-row-15	ce3047e47cc3e1c43164e17a7dbc399ce6ab33aea40e36546114d60a99eb7660	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:175de04e4f9a013c8f44690b	semantic-relation:8474539b6fdaf621ed41daf9	semantic-reference.pmc13163763	PMC13163763#table-2-row-23	b291eaafb09838b12d3246fc646520569dc31d4a81dd96e04678a47b5b864361	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:8be13ecb15400222a49a67fc	semantic-relation:84ac6df90804b9b25bb4a2fa	semantic-reference.pmc11675256	PMC11675256#table-1-row-27	fd67f5150ef99e1e36037760cea66624ea52596d977e6d9c1d39ccb187f51f13	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:980caea6f85562b673113319	semantic-relation:8521d8c01f92c6d9e4e58dba	semantic-reference.pmc13279845	PMC13279845#table-1-row-22	f04e0c32366ea4da068f7cb89b9b133ccfbac14aad9a2e2b9bd192d683fee7c3	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:be9980186a6160b7abb5e99d	semantic-relation:8580217e11904f3474a6d14b	semantic-reference.pmc13279845	PMC13279845#table-1-row-4	05f9dd6b7e5589cdb4965bc7a9cfb839053a9aef944f2d93735ac6b609e631a0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:561f13a9462c6dac4e01d772	semantic-relation:8b06c7616b05da26f676d4b0	semantic-reference.pmc13279845	PMC13279845#table-1-row-14	8b3ebe8b179c7d2337745485e5d4a332ad18877fcdcb2970ab63ed66c9f7b8ad	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:410a3c52834f059bfaf422c4	semantic-relation:8d7e906a7100aec3dc9033a0	semantic-reference.pmc13163763	PMC13163763#table-2-row-2	0c743314fd11155a2ce54bd6d26558212ed29425782602d489923eade9603544	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:16ec14f889db025715e1c4ed	semantic-relation:8d7f0660a3da87cd5a2e8fee	semantic-reference.pmc8774372	PMC8774372#table-3-row-23	777621dd168972efe4b5d09be24b9ca38e6089b2ad7735eec70d61e086738cb0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:f03a2aec5ebffc5893e1d5bd	semantic-relation:8eca87b941b5941d8ff6c4ad	semantic-reference.pmc8774372	PMC8774372#table-3-row-24	d2c9693eb284b6a7e920be6cf897f58def0168a37edc9a8533b77b40e292803f	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:5cb43138882340ce558a6abb	semantic-relation:90be6687579bee73895ee331	semantic-reference.pmc11675256	PMC11675256#table-1-row-11	0f308288896458a93421eb244f8eee14a8b8a3366d2ec6a10317cbf071c956ce	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:c7b1cac50c3a7c8ddbeecedc	semantic-relation:912c329d8be05e7da8113d84	semantic-reference.pmc8774372	PMC8774372#table-3-row-19	9af9313ee6069bcc2d34bf01df83de2a42906e0d5c53fc44dfc8865e0111a6e0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:e94acb79fa86355130e80800	semantic-relation:94729dc803498bf127a2ba81	semantic-reference.pmc13163763	PMC13163763#table-2-row-25	e047ff145da86fe6ea14c390314edf951d2853149ab0642065f7ce0f4e3421a7	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
