review_item_id	priority_tier	provisional_normalized_form_id	assertion_count	effective_record_count	source_family_count	year_count	unresolved_assertion_count	strict_assertion_count	broad_assertion_count	mapping_methods	mapping_confidences	mapping_bases	rights_states	distribution_gap_affected	machine_recommendation	reviewer_decision	reviewer_reason
review-cluster-current:e871c5c4353187d5a0e8dc31	P1	provisional-form:ea4b35e8f83279eab1e670e3	233	213	3	18	219	0	233	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:6175019de1fb177b57b5140b	P1	provisional-form:6c1ff09db3a73dc4a854f695	230	103	1	1	0	0	230	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_ABSTAIN		
review-cluster-current:27585d4362d22c230664430d	P1	provisional-form:918f112d100d00dec359dcf5	214	188	3	18	178	214	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:e0e503be217876f4ec549e1d	P1	provisional-form:5c17109d20746ad75bc1bb9d	211	185	3	18	180	0	211	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:4f3db8372fdaa72f4bc2c19c	P1	provisional-form:d751ccb2237a8c78679d94d5	194	179	2	18	186	194	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:46034595c6a196e85b39e013	P1	provisional-form:f464d7d71c06e47a535ce441	192	162	2	18	168	192	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:d4a338fcda9b682901a669e5	P1	provisional-form:b9043c16af362f30807deaf6	191	169	4	18	149	0	191	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:ea594a40e3c44877de92d2c8	P1	provisional-form:3a7bd3e2360a3d29eea436fc	190	152	2	17	121	190	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:6f7cf4fb89867ba4de5853be	P1	provisional-form:099bbde85d2ab4f33035c0d4	182	163	3	14	127	182	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:20c3d328d276eb8936baef64	P1	provisional-form:dce34e094109d0c0e096b1c3	179	147	4	18	103	179	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:f346c0ad146012d8dacc9fcd	P1	provisional-form:2daf0e6c79009f9234ed9baa	176	169	3	18	148	176	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:ca9f9202127eb26a08f3c77d	P1	provisional-form:7d108ddb9255c7f990a9ec23	173	172	1	17	171	173	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:08413e23582cb7e3637336a8	P1	provisional-form:6d1c5859550824d403d8c31a	172	165	3	18	149	172	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:8ed43807a53e6df3bb8ea13d	P1	provisional-form:184df936d41b2da8d10163ad	164	95	1	1	0	0	164	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_ABSTAIN		
review-cluster-current:6320f1f58cfd505f5c5342d6	P1	provisional-form:58e989955f4b358feb6e4580	163	97	3	15	35	163	0	DOCUMENTED_ORTHOGRAPHIC_ALIAS|NFKC_CASE_SPACE_PUNCTUATION	0.990000	BATCH2_APPROVED_SPELLING_OR_PLURAL_ALIAS|CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:9892a4bda9df88f45c25bf2f	P1	provisional-form:0467255695084cc12ffe0c55	161	140	3	16	157	161	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:ef2a961eb90134c1ddec3d4e	P1	provisional-form:c0f1779c16d26bac92c4e32f	159	146	2	17	88	0	159	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:6c3796d15543ee503acefebd	P1	provisional-form:510e9cd005e362235259c1db	158	140	3	17	132	158	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:8d08a39f0621ec77065ffdca	P1	provisional-form:5296c024e03e439ba3d72c8e	152	143	2	18	141	152	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:715ffad59f1966356988811b	P1	provisional-form:6815f3c300383519de8e4374	144	141	4	17	135	144	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:c94af0a13dd94a80df0c911d	P1	provisional-form:7dfd8928a4a3162bbd66beb1	144	81	2	11	11	144	0	DOCUMENTED_ORTHOGRAPHIC_ALIAS|NFKC_CASE_SPACE_PUNCTUATION	0.990000	BATCH2_APPROVED_SPELLING_OR_PLURAL_ALIAS|CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:5d24ead90c73dfcc6be99c78	P1	provisional-form:e30970665ed2e34594c2645b	138	127	3	17	116	138	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:627f61e26f462a2713d865af	P1	provisional-form:efbaa8cbfffc1af3afcf8082	133	112	3	18	120	133	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:7d08f2a6aeab4000adb361cc	P1	provisional-form:2efe147f807a984572e45054	127	116	3	17	109	127	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:80a93535648e3ecefa255f68	P1	provisional-form:5e737f891db1175442a39fde	126	114	3	16	101	126	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:0e752f414e43c995dc4199fe	P1	provisional-form:7f18041501a6073856a11aec	122	121	3	17	116	0	122	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:4c6517f7e81397179ee9deeb	P1	provisional-form:7073ba391f6781ee969ea9b3	121	113	3	18	87	121	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:2c058876de9806398e9fe94b	P1	provisional-form:c877647d1eef4e2a53959784	121	92	3	13	53	0	121	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:1a106b4d3c488865f4114090	P1	provisional-form:4c591c30afa436056d0d5936	121	114	1	8	121	121	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:3e98ad6b170618d4c7ea2798	P1	provisional-form:043d97d69419bd79f3b5c1d8	119	119	1	16	117	119	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:091749a79239d4f5e26f2ca4	P1	provisional-form:3b066804f6d1d077173cfe4d	116	111	3	17	103	0	116	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:ca6f8c3e0c6818bbb38fe9a5	P1	provisional-form:0f78fcc486f5315418fbf095	114	106	2	16	110	114	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:3e581e0ad8d42bafe850d26c	P1	provisional-form:740d9472155d310672c71c28	104	86	2	14	37	104	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:c4f421633ea44f8a0a969b11	P1	provisional-form:b0fef621727ff82a7d334d9f	102	93	4	16	92	102	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:47722ade77ce3a11f3cef6f2	P1	provisional-form:e97407735e49029c96e5708c	102	96	3	16	87	102	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:1effabd840c3ad6a20d66d4e	P1	provisional-form:a97b0931730e83fbf9284ff0	102	96	3	14	62	0	102	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:90286637c459032160b9e232	P1	provisional-form:00d2064db061fbc29e714b94	99	87	3	15	95	99	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:fdad1e4e1fd7305af79a57d8	P1	provisional-form:ab45e8474269b026f668d498	99	91	3	14	93	99	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:fb173705055e502a040ccd7a	P1	provisional-form:939cdab24ab8e2507ed87ced	97	97	1	17	95	97	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:85cd1392afdcdb5e6d30cede	P1	provisional-form:abe10a7b1ab725a978ccf7e8	91	87	3	16	83	91	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:7f777ca073aca441228c842d	P2	provisional-form:70329b1c2fb2a364d806e0cc	91	80	3	15	82	91	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:e854ea53bafc463d6b2218c8	P2	provisional-form:7019275bf53483f22cab4e0f	91	90	3	13	78	91	0	DOCUMENTED_ORTHOGRAPHIC_ALIAS|NFKC_CASE_SPACE_PUNCTUATION	0.990000	BATCH2_APPROVED_SPELLING_OR_PLURAL_ALIAS|CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:5cf934081865c08f1d177365	P2	provisional-form:06df90ccef78b5002bf5d2b2	91	87	1	16	87	0	91	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
