record_type	record_key	record_json
range_evidence_summary	floral-tea	"{""range_key"": ""floral-tea"", ""limitation"": ""Floral support does not establish tea or full-range equivalence."", ""range_lifecycle_changed"": false, ""supporting_source_families"": [""family.vezzulli-trainedpanel-2022"", ""family.bollen-robusta-qgraders-2024"", ""family.gorman-milk-consumers-2021""], ""challenging_source_families"": [""family.coffee-cuality-experts-2026""], ""cross_source_supporting_membership_count"": 1, ""source_local_supporting_membership_count"": 1}"
range_evidence_summary	fruit	"{""range_key"": ""fruit"", ""limitation"": ""Berry and citrus remain separate reviewed source-local paths."", ""range_lifecycle_changed"": false, ""supporting_source_families"": [""family.heo-coldbrew-consumers-2019"", ""family.coffee-cuality-experts-2026""], ""challenging_source_families"": [""family.vezzulli-trainedpanel-2022"", ""family.bollen-robusta-qgraders-2024""], ""cross_source_supporting_membership_count"": 0, ""source_local_supporting_membership_count"": 2}"
range_evidence_summary	roast-spice-smoke	"{""range_key"": ""roast-spice-smoke"", ""limitation"": ""Smoky support does not collapse roast, burnt, spice, ash, or smoke."", ""range_lifecycle_changed"": false, ""supporting_source_families"": [""family.liberica-ratapanel-2025"", ""family.gorman-milk-consumers-2021""], ""challenging_source_families"": [""family.iswaldi-rataconsumers-2026"", ""family.vezzulli-trainedpanel-2022"", ""family.bollen-robusta-qgraders-2024""], ""cross_source_supporting_membership_count"": 1, ""source_local_supporting_membership_count"": 1}"
range_evidence_summary	sweet-associated	"{""range_key"": ""sweet-associated"", ""limitation"": ""Honey and basic sweetness remain distinct source constructs."", ""range_lifecycle_changed"": false, ""supporting_source_families"": [""family.vezzulli-trainedpanel-2022""], ""challenging_source_families"": [""family.nguyen-pbma-thai-2026""], ""cross_source_supporting_membership_count"": 0, ""source_local_supporting_membership_count"": 1}"
range_evidence_summary	texture-body-drying	"{""range_key"": ""texture-body-drying"", ""limitation"": ""Independent constructs exist, but no membership reached the promotion threshold."", ""range_lifecycle_changed"": false, ""supporting_source_families"": [""family.iswaldi-rataconsumers-2026"", ""family.nguyen-pbma-thai-2026""], ""challenging_source_families"": [""family.gorman-milk-consumers-2021"", ""family.condelli-consumer-cata-2022""], ""cross_source_supporting_membership_count"": 0, ""source_local_supporting_membership_count"": 0}"
sensory_concentration	family.baseline.cotter-consumers	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 1, ""count_basis"": ""Frozen Round 3H baseline allocation"", ""source_family_key"": ""family.baseline.cotter-consumers"", ""source_family_share"": 0.73342541436464088398, ""observation_row_count"": 3186, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.baseline.ftnir-reference	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 2, ""count_basis"": ""Frozen Round 3H baseline allocation"", ""source_family_key"": ""family.baseline.ftnir-reference"", ""source_family_share"": 0.07366482504604051565, ""observation_row_count"": 320, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.baseline.taste-sensitivity	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 6, ""count_basis"": ""Frozen Round 3H baseline allocation"", ""source_family_key"": ""family.baseline.taste-sensitivity"", ""source_family_share"": 0.02140883977900552486, ""observation_row_count"": 93, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.bollen-robusta-qgraders-2024	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 5, ""count_basis"": ""Round 3H governed source profile"", ""source_family_key"": ""family.bollen-robusta-qgraders-2024"", ""source_family_share"": 0.02186924493554327808, ""observation_row_count"": 95, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.gorman-milk-consumers-2021	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 9, ""count_basis"": ""Round 3H governed source profile"", ""source_family_key"": ""family.gorman-milk-consumers-2021"", ""source_family_share"": 0.01104972375690607735, ""observation_row_count"": 48, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.iswaldi-rataconsumers-2026	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 8, ""count_basis"": ""Round 3H governed source profile"", ""source_family_key"": ""family.iswaldi-rataconsumers-2026"", ""source_family_share"": 0.01657458563535911602, ""observation_row_count"": 72, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.liberica-ratapanel-2025	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 7, ""count_basis"": ""Ten descriptors by nine observed configurations"", ""source_family_key"": ""family.liberica-ratapanel-2025"", ""source_family_share"": 0.02071823204419889503, ""observation_row_count"": 90, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.nguyen-pbma-thai-2026	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 3, ""count_basis"": ""Round 3H governed source profile"", ""source_family_key"": ""family.nguyen-pbma-thai-2026"", ""source_family_share"": 0.06445672191528545120, ""observation_row_count"": 280, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
sensory_concentration	family.vezzulli-trainedpanel-2022	"{""limitation"": ""Shares are descriptive; incompatible source-local methods are not pooled."", ""share_rank"": 4, ""count_basis"": ""Round 3H governed source profile"", ""source_family_key"": ""family.vezzulli-trainedpanel-2022"", ""source_family_share"": 0.03683241252302025783, ""observation_row_count"": 160, ""contributing_family_count"": 9, ""largest_source_family_share"": 0.73342541436464088398, ""second_largest_source_family_share"": 0.07366482504604051565, ""meaningful_observation_family_count"": 9}"
